slug,name,entity_type,status,country,city,latitude,longitude,last_verified,primary_source_count,primary_source_urls,meta_description
did-not-make-the-cut,Did Not Make The Cut: 13 Entities We Cut,answer,operational,,,,,2026-05-20,0,,"We cut 13 candidate eVTOL entities from the Arab-world database because they failed our contracted/built/flight-tested/regulated bar. Honest disclosure of what was considered and rejected, with primary sources."
doha-airport-to-urban-future,Doha Airport → Urban Centers (future),route,announced,Qatar,Doha,25.2731,51.608,2026-05-01,2,https://www.ehang.com/news/1310.html | https://dohahamadairport.com/press-releases/news/2025-operational-performance,EHang named airport-to-urban shuttle as a Qatar eVTOL focus area in Nov 2025. No specific HIA → Doha route announced. Status and sources verified.
doha-airport-vertiport-future,Doha Airport Vertiport (planned),vertiport,planned,Qatar,Doha,25.2731,51.608,2026-05-01,2,https://www.ehang.com/news/1310.html | https://dohahamadairport.com/press-releases/news/2025-operational-performance,"Conceptual eVTOL vertiport at Hamad International Airport (HIA), Doha. No formal announcement by HIA, Qatar Airways, MoT or QCAA. Status and sources verified."
doha-evtol-vs-taxi-metro,Doha eVTOL vs taxi vs metro — comparison,answer,trial_only,Qatar,Doha,25.2854,51.531,2026-05-01,5,https://ir.ehang.com/news-releases/news-release-details/ehang-eh216-s-conducts-first-urban-human-carrying-pilotless/ | https://www.mowasalat.com/our-service/taxi-limousine/ | https://visitqatar.com/intl-en/plan-your-trip/getting-around/doha-metro | https://www.ehang.com/ehang216s/ | https://www.rome2rio.com/s/Doha-Port-Qatar/Katara-Cultural-Village,"Compares Doha eVTOL (EHang EH216-S, 8 min trial), Karwa taxi (~30 min, ~QAR 25-35) and Doha Metro (~30 min, QAR 2) on the Port–Katara corridor."
doha-port-to-katara,Port of Doha ↔ Katara Cultural Village,route,trial_only,Qatar,Doha,25.3174,51.5378,2026-05-20,2,https://www.ehang.com/news/1310.html | https://www.mot.gov.qa/en/news/minister-witnesses-trial-first-flight-unmanned-evtol-qatar,The EHang EH216-S completed first urban human-carrying pilotless eVTOL flights in the Middle East between Port of Doha and Katara Cultural Village on 17 November 2025. 8-minute flight vs ~30 minutes by car.
ehang-eh216-s-qatar,EHang EH216-S (Qatar trials),aircraft,trial_only,Qatar,Doha,25.36091,51.52474,2026-05-01,6,https://www.ehang.com/news/1310.html | https://www.ehang.com/ehang216s/ | https://www.ehang.com/news/990.html | https://www.ehang.com/news/1021.html | https://www.ehang.com/news/1058.html | https://ir.ehang.com/news-releases/news-release-details/ehangs-eh216-s-evtol-operators-obtain-air-operator-certificates/,"EHang EH216-S autonomous eVTOL flew the Middle East's first urban pilotless passenger flights in Doha on 15 November 2025. Specs, regulator, sources verified."
gulf-evtol-comparison-uae-vs-qatar,Gulf eVTOL — UAE vs Qatar compared,answer,trial_only,,,25.0746,53.4108,2026-05-01,4,https://investors.archer.com/news/news-details/2024/Archer-and-Falcon-Aviation-to-Jointly-Develop-Vertiport-Network-in-Dubai-and-Abu-Dhabi-for-the-Launch-of-Flying-Car-Operations-in-UAE-as-Soon-as-2025/ | https://ir.ehang.com/news-releases/news-release-details/ehang-eh216-s-conducts-first-urban-human-carrying-pilotless/ | https://www.ehang.com/news/1082.html | https://mot.gov.qa/en/news/prime-minister-launches-ministry-transport-strategy-2025-2030,"Compares the UAE eVTOL programme (Joby S4 piloted, Dubai 2026 launch) and the Qatar eVTOL programme (EHang EH216-S pilotless, Doha trial Nov 2025)."
mot-qatar,Qatar Ministry of Transport (MoT),regulator,operational,Qatar,Doha,25.2854,51.531,2026-05-20,2,https://www.mot.gov.qa/en/news/minister-witnesses-trial-first-flight-unmanned-evtol-qatar | https://www.ehang.com/news/1310.html,Qatar Ministry of Transport (MoT) provided strategic support for EHang EH216-S first urban pilotless eVTOL flights in the Middle East (17 Nov 2025). Minister HE Sheikh Mohammed bin Abdulla bin Mohammed Al Thani.
qatar-autonomous-evtol-explained,Qatar autonomous (pilotless) eVTOL — explained,answer,trial_only,Qatar,Doha,25.2854,51.531,2026-05-01,3,https://ir.ehang.com/news-releases/news-release-details/ehang-eh216-s-conducts-first-urban-human-carrying-pilotless/ | https://www.ehang.com/ehang216s/ | https://www.ehang.com/news/1082.html,"Explains how Qatar's first urban pilotless eVTOL — EHang EH216-S, flown Doha 17 Nov 2025 — operates without a pilot, under QCAA authorisation."
qatar-evtol-vision-2030,Qatar eVTOL & National Vision 2030,answer,operational,Qatar,Doha,25.2854,51.531,2026-05-01,4,https://mofa.gov.qa/en/state-of-qatar/qtr-national-vision-2030/qatar-national-vision-2030 | https://mot.gov.qa/en/news/prime-minister-launches-ministry-transport-strategy-2025-2030 | https://www.gco.gov.qa/en/media-centre/top-news/prime-minister-launches-ministry-of-transport-strategy-2025-2030/ | https://ir.ehang.com/news-releases/news-release-details/ehang-eh216-s-conducts-first-urban-human-carrying-pilotless/,"How Qatar's first urban pilotless eVTOL trial (Doha, 17 Nov 2025) maps to Qatar National Vision 2030, the MoT 2025-2030 strategy and NDS3."
